272
0,7,10 17,5,19 22,1,24 45,2,20 59,9,8 68,4,18 72,9,2 81,5,22 86,7,1 93,1,14 94,8,21 102,9,15 118,5,5 123,4,3 130,2,13 132,6,4 148,5,16 153,9,12 166,6,6 172,10,0 182,5,23 199,10,7 209,5,11 230,5,9 235,1,17 
0,7,20 7,2,16 9,7,15 16,4,10 40,4,13 56,3,23 59,9,19 68,10,0 78,3,12 94,8,17 107,8,24 126,5,2 131,2,6 146,4,7 150,6,18 156,10,21 166,4,9 173,1,11 180,6,8 186,4,14 196,2,1 198,4,22 231,3,4 234,3,5 251,7,3 
0,4,3 22,10,19 32,5,23 37,7,22 47,4,20 51,1,7 53,9,21 66,1,1 68,9,10 94,8,14 112,10,2 122,3,11 125,7,8 140,1,16 141,5,24 146,8,0 154,5,4 160,2,17 172,5,6 178,8,12 186,1,15 202,10,5 221,9,9 230,5,13 238,7,18 
0,6,4 10,8,2 18,7,17 25,1,24 26,6,6 32,6,12 60,5,22 67,1,21 75,3,11 98,2,0 105,10,18 115,3,5 118,4,19 122,3,8 125,3,14 128,1,9 129,3,10 157,7,7 190,6,3 196,3,13 199,5,16 204,1,23 205,5,1 210,5,20 258,8,15 
0,4,22 4,6,1 14,9,13 34,10,4 47,3,19 74,8,8 82,1,24 83,4,14 87,3,12 93,9,2 105,4,7 119,9,18 128,4,20 135,8,23 143,7,11 150,1,6 163,1,15 164,1,9 168,4,16 185,5,5 195,10,0 230,4,3 234,7,10 241,7,21 248,2,17 
0,9,11 9,1,7 12,3,22 18,8,2 26,4,12 44,7,9 51,9,14 76,8,3 84,8,16 95,7,5 102,7,17 109,7,19 116,8,0 124,2,23 130,1,6 132,1,13 142,7,18 160,8,20 186,10,8 196,2,4 198,1,1 199,5,15 204,3,10 207,1,24 218,5,21 
0,1,18 32,5,19 37,7,23 44,10,8 65,4,24 69,6,9 75,1,6 81,6,2 87,7,17 103,1,22 104,6,10 110,9,1 119,2,14 128,1,16 132,2,12 169,4,11 173,7,21 180,7,13 187,3,7 190,3,5 214,10,4 224,9,15 233,1,20 250,1,3 251,6,0 
0,9,13 9,1,24 37,1,19 44,2,22 46,3,7 49,6,5 55,4,20 59,6,9 89,10,18 99,4,11 109,2,17 112,10,16 122,1,10 129,2,21 136,2,6 138,3,12 144,4,14 171,9,8 180,7,2 204,3,3 207,2,23 224,3,4 227,4,0 233,2,15 235,2,1 
6,9,4 15,7,7 22,9,23 31,9,24 40,9,5 49,1,10 60,3,15 85,8,0 93,6,1 102,6,2 108,4,6 125,3,17 128,9,22 141,7,16 152,1,19 153,8,8 166,2,21 170,10,9 180,1,20 199,5,13 204,2,14 234,9,3 243,10,11 253,4,12 257,8,18 
1,7,18 8,9,17 17,2,23 19,7,12 26,5,21 53,7,22 60,9,11 84,8,3 92,1,24 93,6,13 102,9,5 111,3,7 114,1,14 115,1,8 116,2,19 118,6,9 138,2,6 140,1,20 187,10,2 198,10,4 208,9,0 217,4,15 221,6,10 227,4,1 249,5,16 
0,4,1 4,6,22 10,3,18 13,3,0 44,8,13 52,8,15 69,6,11 75,7,14 92,7,16 99,2,4 111,5,17 120,9,12 133,3,6 136,6,21 144,10,5 154,6,20 160,7,23 167,8,19 175,4,24 200,9,8 209,4,9 213,5,2 244,6,3 250,9,10 259,7,7 
0,3,14 3,2,9 9,2,16 35,8,17 68,6,8 74,4,13 78,7,0 85,10,5 95,9,23 104,3,24 110,6,10 119,4,1 129,3,12 132,8,11 140,10,6 150,5,15 159,4,4 163,4,18 177,8,7 185,8,22 207,6,3 213,5,21 221,2,19 223,8,2 231,2,20 
0,7,15 7,5,14 15,4,21 34,6,13 46,3,22 49,4,0 55,6,5 61,7,20 77,6,7 83,6,24 100,4,12 122,6,16 133,9,18 142,5,1 150,3,11 153,5,2 170,8,3 178,1,6 187,8,10 208,6,4 214,1,23 225,8,8 233,5,19 238,1,17 239,2,9 
0,2,17 2,7,8 24,3,20 27,2,14 29,7,0 36,10,10 46,1,1 51,6,9 68,7,21 75,2,12 77,4,5 99,5,16 114,4,7 126,4,13 140,3,2 146,8,24 162,4,6 166,4,4 170,6,18 186,6,19 213,8,3 221,1,23 222,4,11 226,6,22 235,3,15 
0,9,7 9,5,13 27,9,20 36,10,15 49,4,22 53,2,19 58,9,6 93,2,0 95,10,9 105,6,12 115,4,18 128,6,17 134,1,23 142,2,21 144,6,8 150,6,1 158,5,2 174,2,11 176,1,4 177,10,16 187,3,24 243,1,3 244,5,10 249,5,14 254,4,5 
7,10,20 17,2,11 44,8,23 54,5,8 59,10,12 69,7,3 76,2,18 82,2,9 84,5,21 99,1,1 100,4,0 116,5,10 121,6,22 138,2,2 140,4,14 154,5,24 172,10,5 182,3,6 187,9,13 196,3,7 199,7,17 227,4,4 231,9,16 240,6,15 246,6,19 
0,10,2 10,5,21 52,4,23 56,9,24 65,3,10 75,7,9 82,7,18 89,5,7 95,3,0 111,9,12 120,7,20 127,3,4 134,9,17 143,9,19 152,10,6 164,8,5 172,3,15 175,6,14 181,8,11 189,6,16 221,9,3 233,8,8 241,6,22 247,4,13 257,6,1 
0,8,19 8,1,10 25,9,4 34,4,6 38,7,11 45,4,16 49,3,2 69,9,23 78,1,18 79,5,15 116,7,17 123,4,24 127,9,5 136,10,9 146,6,22 152,5,7 157,5,3 168,4,21 172,4,20 209,3,8 212,6,12 218,3,0 221,5,14 235,5,13 240,6,1 
0,4,6 5,5,9 11,5,10 44,2,4 46,4,12 50,8,16 58,8,1 66,8,14 86,8,22 104,7,23 122,4,2 126,3,19 129,10,7 139,7,15 146,9,13 155,5,17 182,1,5 183,10,0 196,8,3 204,1,21 216,9,8 225,2,24 227,4,11 231,7,18 238,9,20 
0,2,12 10,2,22 12,3,5 15,1,9 26,5,2 38,8,6 46,2,18 52,5,7 57,5,4 62,9,13 71,5,19 76,2,20 84,10,15 104,2,0 128,9,14 161,10,8 178,6,3 184,3,10 187,1,17 188,8,1 196,3,23 204,4,16 208,5,21 214,6,11 243,8,24 
0,6,21 17,7,20 24,9,7 33,3,14 36,7,18 45,2,11 52,2,4 54,10,0 78,2,23 108,4,2 112,3,9 115,1,6 116,10,13 137,2,22 154,10,5 164,4,10 168,10,12 184,6,3 190,8,17 212,4,8 216,5,19 227,7,24 240,9,16 249,3,15 263,9,1 
15,10,4 25,10,17 36,9,20 45,2,19 47,4,3 53,1,0 62,5,21 78,9,13 94,9,22 103,6,14 109,3,16 128,5,18 139,7,7 146,2,2 148,3,9 155,8,15 163,6,1 169,4,10 176,2,11 186,9,12 195,2,5 222,9,23 234,9,24 244,5,8 249,4,6 
0,4,24 9,2,10 19,7,21 26,10,22 36,8,9 44,7,14 51,1,20 63,1,15 90,10,12 100,5,18 123,2,17 125,5,6 130,10,16 140,4,5 153,9,11 162,8,3 170,1,2 171,6,7 177,9,19 193,2,0 207,4,13 241,3,8 244,10,4 254,3,1 257,2,23 
8,9,19 19,5,11 24,10,13 43,3,17 46,7,21 53,10,3 63,7,4 87,6,2 99,1,18 100,5,7 105,5,20 111,6,23 123,6,1 132,7,8 139,2,0 152,7,22 159,9,16 168,2,24 185,4,6 189,5,9 197,5,5 202,2,12 206,7,14 252,6,15 259,1,10 
0,7,16 10,4,24 14,9,14 23,9,18 46,6,4 52,6,6 59,10,23 69,8,7 77,2,19 104,10,22 114,9,15 123,6,21 131,7,2 138,6,3 162,7,11 169,2,17 171,10,1 183,2,5 196,4,8 204,3,13 213,8,9 221,9,20 230,2,10 232,6,12 238,6,0 
