268
0,7,10 32,5,19 37,1,24 45,2,20 61,9,8 70,4,18 74,9,2 83,5,22 88,7,1 105,1,14 106,8,21 125,9,15 134,5,5 139,4,3 143,2,13 145,6,4 159,5,16 182,9,12 191,6,6 197,10,0 210,5,23 215,10,7 236,5,11 241,5,9 246,1,17 
10,7,20 17,2,16 19,7,15 26,4,10 39,4,13 56,3,23 59,9,19 82,10,0 92,3,12 102,8,17 110,8,24 128,5,2 133,2,6 141,4,7 145,6,18 151,10,21 161,4,9 165,1,11 195,6,8 201,4,14 205,2,1 207,4,22 219,3,4 222,3,5 252,7,3 
0,4,3 17,10,19 27,5,23 32,7,22 47,4,20 51,1,7 52,9,21 66,1,1 67,9,10 91,8,14 114,10,2 124,3,11 127,7,8 136,1,16 137,5,24 143,8,0 151,5,4 164,2,17 167,5,6 200,8,12 208,1,15 209,10,5 219,9,9 228,5,13 239,7,18 
9,6,4 15,8,2 35,7,17 42,1,24 43,6,6 50,6,12 57,5,22 66,1,21 74,3,11 95,2,0 100,10,18 110,3,5 113,4,19 117,3,8 123,3,14 126,1,9 130,3,10 145,7,7 152,6,3 164,3,13 180,5,16 185,1,23 194,5,1 199,5,20 247,8,15 
0,4,22 4,6,1 24,9,13 34,10,4 47,3,19 70,8,8 78,1,24 79,4,14 83,3,12 99,9,2 108,4,7 119,9,18 128,4,20 136,8,23 144,7,11 151,1,6 161,1,15 175,1,9 176,4,16 189,5,5 207,10,0 241,4,3 245,7,10 252,7,21 259,2,17 
0,9,11 16,1,7 17,3,22 23,8,2 31,4,12 40,7,9 47,9,14 62,8,3 79,8,16 87,7,5 110,7,17 117,7,19 124,8,0 132,2,23 135,1,6 136,1,13 151,7,18 164,8,20 181,10,8 191,2,4 193,1,1 200,5,15 206,3,10 209,1,24 211,5,21 
0,1,18 27,5,19 32,7,23 39,10,8 57,4,24 61,6,9 72,1,6 89,6,2 95,7,17 105,1,22 106,6,10 112,9,1 121,2,14 135,1,16 136,2,12 138,4,11 142,7,21 157,7,13 169,3,7 194,3,5 201,10,4 211,9,15 220,1,20 251,1,3 252,6,0 
0,9,13 11,1,24 37,1,19 39,2,22 41,3,7 44,6,5 52,4,20 73,6,9 90,10,18 100,4,11 117,2,17 119,10,16 129,1,10 131,2,21 136,2,6 138,3,12 146,4,14 172,9,8 181,7,2 205,3,3 208,2,23 216,3,4 219,4,0 223,2,15 225,2,1 
0,9,4 9,7,7 39,9,23 48,9,24 57,9,5 66,1,10 67,3,15 74,8,0 82,6,1 108,6,2 114,4,6 126,3,17 129,9,22 138,7,16 153,1,19 154,8,8 162,2,21 165,10,9 175,1,20 176,5,13 185,2,14 232,9,3 241,10,11 251,4,12 255,8,18 
1,7,18 8,9,17 19,2,23 21,7,12 28,5,21 50,7,22 65,9,11 78,8,3 86,1,24 87,6,13 94,9,5 103,3,7 106,1,14 107,1,8 108,2,19 110,6,9 118,2,6 120,1,20 166,10,2 176,10,4 187,9,0 196,4,15 200,6,10 207,4,1 211,5,16 
0,4,1 4,6,22 10,3,18 13,3,0 43,8,13 51,8,15 59,6,11 65,7,14 72,7,16 79,2,4 81,5,17 114,9,12 123,3,6 133,6,21 148,10,5 158,6,20 164,7,23 171,8,19 179,4,24 201,9,8 210,4,9 214,5,2 245,6,3 252,9,10 261,7,7 
0,3,14 9,2,9 11,2,16 17,8,17 25,6,8 51,4,13 55,7,0 72,10,5 84,9,23 93,3,24 96,6,10 102,4,1 123,3,12 127,8,11 138,10,6 148,5,15 156,4,4 160,4,18 172,8,7 180,8,22 225,6,3 231,5,21 239,2,19 241,8,2 249,2,20 
0,7,15 7,5,14 22,4,21 33,6,13 47,3,22 50,4,0 66,6,5 72,7,20 81,6,7 87,6,24 110,4,12 129,6,16 135,9,18 144,5,1 158,3,11 161,5,2 178,8,3 186,1,6 187,8,10 195,6,4 201,1,23 226,8,8 234,5,19 239,1,17 246,2,9 
0,2,17 2,7,8 33,3,20 36,2,14 38,7,0 45,10,10 55,1,1 67,6,9 73,7,21 81,2,12 83,4,5 87,5,16 95,4,7 99,4,13 144,3,2 147,8,24 163,4,6 167,4,4 171,6,18 179,6,19 217,8,3 225,1,23 232,4,11 236,6,22 244,3,15 
0,9,7 9,5,13 24,9,20 33,10,15 43,4,22 50,2,19 63,9,6 72,2,0 82,10,9 95,6,12 110,4,18 129,6,17 135,1,23 139,2,21 141,6,8 149,6,1 155,5,2 161,2,11 163,1,4 164,10,16 174,3,24 231,1,3 232,5,10 237,5,14 242,4,5 
0,10,20 14,2,11 48,8,23 56,5,8 61,10,12 71,7,3 78,2,18 80,2,9 82,5,21 95,1,1 97,4,0 112,5,10 117,6,22 140,2,2 142,4,14 155,5,24 177,10,5 187,3,6 190,9,13 199,3,7 205,7,17 212,4,4 216,9,16 225,6,15 241,6,19 
0,10,2 10,5,21 15,4,23 19,9,24 30,3,10 47,7,9 59,7,18 66,5,7 92,3,0 101,9,12 110,7,20 117,3,4 135,9,17 144,9,19 153,10,6 168,8,5 176,3,15 179,6,14 185,8,11 193,6,16 208,9,3 237,8,8 245,6,22 251,4,13 255,6,1 
9,8,19 17,1,10 25,9,4 34,4,6 38,7,11 45,4,16 49,3,2 73,9,23 82,1,18 83,5,15 119,7,17 126,4,24 139,9,5 148,10,9 158,6,22 164,5,7 186,5,3 191,4,21 195,4,20 214,3,8 217,6,12 223,3,0 226,5,14 233,5,13 261,6,1 
0,4,6 4,5,9 9,5,10 44,2,4 46,4,12 50,8,16 58,8,1 83,8,14 97,8,22 105,7,23 124,4,2 128,3,19 131,10,7 141,7,15 148,9,13 157,5,17 176,1,5 177,10,0 197,8,3 205,1,21 217,9,8 226,2,24 228,4,11 232,7,18 239,9,20 
0,2,12 10,2,22 12,3,5 15,1,9 31,5,2 49,8,6 57,2,18 59,5,7 69,5,4 75,9,13 84,5,19 89,2,20 91,10,15 101,2,0 107,9,14 162,10,8 172,6,3 178,3,10 181,1,17 182,8,1 190,3,23 199,4,16 206,5,21 211,6,11 237,8,24 
