265
0,7,10 32,5,19 37,1,24 45,2,20 55,9,8 64,4,18 68,9,2 77,5,22 82,7,1 91,1,14 92,8,21 100,9,15 115,5,5 120,4,3 124,2,13 126,6,4 148,5,16 153,9,12 173,6,6 185,10,0 195,5,23 200,10,7 210,5,11 226,5,9 231,1,17 
10,7,20 17,2,16 19,7,15 26,4,10 50,4,13 54,3,23 57,9,19 69,10,0 79,3,12 90,8,17 100,8,24 122,5,2 127,2,6 139,4,7 143,6,18 149,10,21 159,4,9 175,1,11 176,6,8 182,4,14 189,2,1 191,4,22 237,3,4 240,3,5 246,7,3 
0,4,3 17,10,19 27,5,23 32,7,22 47,4,20 51,1,7 52,9,21 61,1,1 67,9,10 83,8,14 108,10,2 118,3,11 121,7,8 139,1,16 140,5,24 145,8,0 153,5,4 158,2,17 164,5,6 177,8,12 185,1,15 200,10,5 217,9,9 226,5,13 234,7,18 
0,6,4 10,8,2 27,7,17 34,1,24 38,6,6 50,6,12 57,5,22 66,1,21 73,3,11 100,2,0 102,10,18 112,3,5 125,4,19 129,3,8 132,3,14 147,1,9 148,3,10 167,7,7 193,6,3 199,3,13 202,5,16 207,1,23 208,5,1 230,5,20 248,8,15 
0,4,22 4,6,1 27,9,13 36,10,4 47,3,19 64,8,8 72,1,24 79,4,14 83,3,12 89,9,2 99,4,7 117,9,18 126,4,20 131,8,23 152,7,11 159,1,6 160,1,15 163,1,9 166,4,16 184,5,5 213,10,0 226,4,3 231,7,10 238,7,21 245,2,17 
0,9,11 9,1,7 12,3,22 18,8,2 29,4,12 40,7,9 51,9,14 68,8,3 78,8,16 86,7,5 107,7,17 114,7,19 121,8,0 129,2,23 131,1,6 132,1,13 149,7,18 159,8,20 182,10,8 192,2,4 194,1,1 195,5,15 200,3,10 203,1,24 213,5,21 
0,1,18 27,5,19 32,7,23 39,10,8 57,4,24 61,6,9 67,1,6 77,6,2 83,7,17 99,1,22 100,6,10 106,9,1 115,2,14 140,1,16 141,2,12 169,4,11 173,7,21 180,7,13 187,3,7 190,3,5 210,10,4 220,9,15 229,1,20 245,1,3 246,6,0 
0,9,13 9,1,24 37,1,19 39,2,22 41,3,7 44,6,5 52,4,20 67,6,9 75,10,18 85,4,11 105,2,17 108,10,16 118,1,10 133,2,21 135,2,6 137,3,12 149,4,14 167,9,8 176,7,2 199,3,3 202,2,23 220,3,4 226,4,0 230,2,15 232,2,1 
16,9,4 25,7,7 39,9,23 48,9,24 57,9,5 66,1,10 67,3,15 79,8,0 89,6,1 98,6,2 104,4,6 127,3,17 130,9,22 141,7,16 148,1,19 159,8,8 167,2,21 169,10,9 179,1,20 202,5,13 207,2,14 230,9,3 239,10,11 249,4,12 253,8,18 
1,7,18 8,9,17 20,2,23 22,7,12 29,5,21 50,7,22 64,9,11 76,8,3 84,1,24 85,6,13 93,9,5 103,3,7 106,1,14 107,1,8 108,2,19 111,6,9 117,2,6 119,1,20 183,10,2 194,10,4 204,9,0 213,4,15 217,6,10 223,4,1 245,5,16 
0,4,1 4,6,22 10,3,18 13,3,0 42,8,13 50,8,15 58,6,11 64,7,14 71,7,16 78,2,4 98,5,17 113,9,12 122,3,6 125,6,21 143,10,5 153,6,20 159,7,23 166,8,19 174,4,24 196,9,8 205,4,9 209,5,2 239,6,3 245,9,10 254,7,7 
0,3,14 9,2,9 11,2,16 34,8,17 49,6,8 55,4,13 59,7,0 72,10,5 82,9,23 91,3,24 94,6,10 100,4,1 122,3,12 125,8,11 137,10,6 147,5,15 158,4,4 162,4,18 174,8,7 182,8,22 202,6,3 208,5,21 217,2,19 219,8,2 227,2,20 
0,7,15 7,5,14 22,4,21 36,6,13 47,3,22 52,4,0 66,6,5 72,7,20 88,6,7 94,6,24 109,4,12 123,6,16 129,9,18 138,5,1 159,3,11 162,5,2 171,8,3 179,1,6 180,8,10 204,6,4 210,1,23 224,8,8 232,5,19 237,1,17 238,2,9 
0,2,17 2,7,8 33,3,20 36,2,14 38,7,0 50,10,10 60,1,1 75,6,9 81,7,21 88,2,12 102,4,5 118,5,16 135,4,7 139,4,13 143,3,2 150,8,24 160,4,6 164,4,4 168,6,18 183,6,19 208,8,3 216,1,23 217,4,11 221,6,22 232,3,15 
0,9,7 9,5,13 24,9,20 33,10,15 43,4,22 50,2,19 58,9,6 67,2,0 81,10,9 91,6,12 97,4,18 121,6,17 127,1,23 131,2,21 139,6,8 145,6,1 151,5,2 173,2,11 175,1,4 176,10,16 186,3,24 225,1,3 226,5,10 231,5,14 236,4,5 
0,10,20 10,2,11 12,8,23 20,5,8 40,10,12 51,7,3 58,2,18 73,2,9 75,5,21 80,1,1 102,4,0 106,5,10 111,6,22 134,2,2 136,4,14 145,5,24 172,10,5 182,3,6 187,9,13 196,3,7 199,7,17 223,4,4 227,9,16 236,6,15 242,6,19 
0,10,2 10,5,21 22,4,23 38,9,24 47,3,10 50,7,9 68,7,18 75,5,7 97,3,0 100,9,12 109,7,20 116,3,4 130,9,17 139,9,19 148,10,6 163,8,5 171,3,15 174,6,14 180,8,11 188,6,16 216,9,3 232,8,8 240,6,22 246,4,13 250,6,1 
9,8,19 17,1,10 25,9,4 34,4,6 38,7,11 48,4,16 52,3,2 68,9,23 85,1,18 86,5,15 114,7,17 121,4,24 125,9,5 134,10,9 144,6,22 150,5,7 166,5,3 180,4,21 184,4,20 205,3,8 208,6,12 223,3,0 226,5,14 231,5,13 240,6,1 
