267
0,7,10 17,5,19 22,1,24 45,2,20 60,9,8 69,4,18 73,9,2 82,5,22 87,7,1 95,1,14 96,8,21 121,9,15 130,5,5 135,4,3 139,2,13 141,6,4 160,5,16 175,9,12 184,6,6 190,10,0 200,5,23 205,10,7 215,5,11 226,5,9 232,1,17 
0,7,20 7,2,16 9,7,15 16,4,10 40,4,13 53,3,23 61,9,19 71,10,0 81,3,12 84,8,17 93,8,24 127,5,2 132,2,6 140,4,7 144,6,18 150,10,21 160,4,9 167,1,11 173,6,8 179,4,14 187,2,1 189,4,22 224,3,4 227,3,5 249,7,3 
0,4,3 22,10,19 32,5,23 40,7,22 47,4,20 51,1,7 56,9,21 66,1,1 72,9,10 96,8,14 113,10,2 123,3,11 126,7,8 137,1,16 138,5,24 143,8,0 156,5,4 161,2,17 167,5,6 193,8,12 201,1,15 202,10,5 217,9,9 234,5,13 239,7,18 
0,6,4 10,8,2 26,7,17 33,1,24 38,6,6 50,6,12 66,5,22 71,1,21 81,3,11 104,2,0 106,10,18 116,3,5 119,4,19 123,3,8 126,3,14 138,1,9 139,3,10 149,7,7 188,6,3 194,3,13 197,5,16 208,1,23 209,5,1 227,5,20 248,8,15 
0,4,22 4,6,1 14,9,13 34,10,4 44,3,19 69,8,8 77,1,24 78,4,14 84,3,12 94,9,2 103,4,7 120,9,18 129,4,20 133,8,23 141,7,11 148,1,6 160,1,15 164,1,9 165,4,16 182,5,5 211,10,0 228,4,3 232,7,10 239,7,21 246,2,17 
0,9,11 9,1,7 12,3,22 18,8,2 26,4,12 44,7,9 51,9,14 61,8,3 69,8,16 81,7,5 101,7,17 108,7,19 115,8,0 123,2,23 127,1,6 131,1,13 150,7,18 157,8,20 179,10,8 189,2,4 191,1,1 192,5,15 197,3,10 200,1,24 203,5,21 
7,1,18 32,5,19 37,7,23 44,10,8 62,4,24 66,6,9 72,1,6 88,6,2 94,7,17 101,1,22 102,6,10 108,9,1 117,2,14 120,1,16 129,2,12 134,4,11 140,7,21 156,7,13 175,3,7 187,3,5 207,10,4 217,9,15 226,1,20 248,1,3 249,6,0 
0,9,13 9,1,24 37,1,19 38,2,22 41,3,7 44,6,5 51,4,20 58,6,9 73,10,18 84,4,11 92,2,17 99,10,16 109,1,10 110,2,21 113,2,6 131,3,12 145,4,14 164,9,8 173,7,2 202,3,3 205,2,23 217,3,4 224,4,0 228,2,15 230,2,1 
16,9,4 25,7,7 44,9,23 53,9,24 62,9,5 71,1,10 72,3,15 81,8,0 94,6,1 103,6,2 109,4,6 122,3,17 125,9,22 138,7,16 149,1,19 156,8,8 164,2,21 166,10,9 176,1,20 177,5,13 183,2,14 232,9,3 241,10,11 251,4,12 255,8,18 
0,7,18 7,9,17 16,2,23 18,7,12 26,5,21 59,7,22 66,9,11 75,8,3 83,1,24 84,6,13 90,9,5 99,3,7 104,1,14 105,1,8 106,2,19 116,6,9 144,2,6 146,1,20 180,10,2 191,10,4 202,9,0 211,4,15 215,6,10 221,4,1 242,5,16 
0,4,1 6,6,22 12,3,18 15,3,0 44,8,13 55,8,15 75,6,11 82,7,14 89,7,16 96,2,4 115,5,17 120,9,12 129,3,6 132,6,21 141,10,5 151,6,20 157,7,23 164,8,19 172,4,24 196,9,8 205,4,9 209,5,2 242,6,3 248,9,10 257,7,7 
0,3,14 3,2,9 9,2,16 33,8,17 54,6,8 60,4,13 64,7,0 71,10,5 81,9,23 90,3,24 93,6,10 100,4,1 116,3,12 126,8,11 134,10,6 147,5,15 152,4,4 157,4,18 161,8,7 169,8,22 205,6,3 211,5,21 216,2,19 218,8,2 232,2,20 
0,7,15 7,5,14 15,4,21 34,6,13 47,3,22 50,4,0 54,6,5 60,7,20 78,6,7 84,6,24 90,4,12 114,6,16 129,9,18 138,5,1 148,3,11 151,5,2 174,8,3 182,1,6 183,8,10 201,6,4 207,1,23 218,8,8 226,5,19 231,1,17 232,2,9 
