Thread | Ops | Total(s) | Avg(s)
-------------------------------
     0 | 100 | 0.000000 | 0.000000
     1 | 100 | 0.000000 | 0.000000
     2 | 100 | 0.000000 | 0.000000
     3 | 100 | 0.000000 | 0.000000
     4 | 100 | 0.000000 | 0.000000
     5 | 100 | 0.000000 | 0.000000
     6 | 100 | 0.000000 | 0.000000
     7 | 100 | 0.001000 | 0.000010
     8 | 100 | 0.000000 | 0.000000
     9 |  50 | 0.000000 | 0.000000
    10 |  50 | 0.000000 | 0.000000
    11 |  50 | 0.000000 | 0.000000
    12 |  50 | 0.000000 | 0.000000
    13 |  50 | 0.001000 | 0.000020
    14 |  50 | 0.000000 | 0.000000
    15 |  50 | 0.000000 | 0.000000
