Order | Job | Op | Time(s)
  168 |   7 |  7 | 0.00000000
  169 |  18 |  6 | 0.00000000
  170 |  24 |  6 | 0.00000000
  171 |   6 |  5 | 0.00000000
  172 |  10 |  7 | 0.00000000
  173 |  16 |  6 | 0.00000000
  174 |   0 |  6 | 0.00000000
  175 |   9 |  8 | 0.00000000
  176 |   9 |  9 | 0.00000000
  177 |  11 |  7 | 0.00000000
  178 |  13 |  9 | 0.00000000
  179 |  15 |  8 | 0.00000000
  180 |  17 |  6 | 0.00000000
  181 |  20 |  6 | 0.00000000
  182 |   2 |  4 | 0.00000000
  183 |  20 |  7 | 0.00000000
  184 |   4 |  6 | 0.00000000
  185 |   8 |  5 | 0.00000000
  186 |   1 |  7 | 0.00000000
  187 |   4 |  7 | 0.00000000
  188 |   8 |  6 | 0.00000000
  189 |  12 |  6 | 0.00000000
  190 |  18 |  7 | 0.00000000
  191 |  19 | 10 | 0.00000000
  192 |  22 |  9 | 0.00000000
  193 |   2 |  5 | 0.00000000
  194 |  10 |  8 | 0.00000000
  195 |  14 |  7 | 0.00000000
  196 |  15 |  9 | 0.00000000
  197 |   2 |  6 | 0.00000000
  198 |   3 |  7 | 0.00000000
  199 |   7 |  8 | 0.00000000
  200 |  13 | 10 | 0.00000000
  201 |  15 | 10 | 0.00000000
  202 |  16 |  7 | 0.00000000
  203 |  24 |  7 | 0.00000000
  204 |   5 |  8 | 0.00000000
  205 |   8 |  7 | 0.00000000
  206 |   0 |  7 | 0.00000000
  207 |   4 |  8 | 0.00000000
  208 |  19 | 11 | 0.00000000
  209 |   9 | 10 | 0.00000000
  210 |  16 |  8 | 0.00000000
  211 |  17 |  7 | 0.00000000
  212 |  19 | 12 | 0.00000000
  213 |  22 | 10 | 0.00000000
  214 |   4 |  9 | 0.00000000
  215 |   6 |  6 | 0.00000000
  216 |  10 |  9 | 0.00000000
  217 |   0 |  8 | 0.00000000
  218 |   6 |  7 | 0.00000000
  219 |  11 |  8 | 0.00000000
  220 |  22 | 11 | 0.00000000
  221 |  10 | 10 | 0.00000000
  222 |  20 |  8 | 0.00000000
  223 |   2 |  7 | 0.00000000
  224 |   3 |  8 | 0.00000000
  225 |  18 |  8 | 0.00000000
  226 |  23 |  6 | 0.00000000
  227 |  22 | 12 | 0.00000000
  228 |   3 |  9 | 0.00000000
  229 |  10 | 11 | 0.00000000
  230 |  12 |  7 | 0.00000000
  231 |  24 |  8 | 0.00000000
  232 |   0 |  9 | 0.00000000
  233 |   5 |  9 | 0.00000000
  234 |  17 |  8 | 0.00000000
  235 |   0 | 10 | 0.00000000
  236 |   2 |  8 | 0.00000000
  237 |   4 | 10 | 0.00000000
  238 |   7 |  9 | 0.00000000
  239 |  19 | 13 | 0.00000000
  240 |  21 |  5 | 0.00000000
  241 |  24 |  9 | 0.00000000
  242 |  17 |  9 | 0.00000000
  243 |  13 | 11 | 0.00000000
  244 |   1 |  8 | 0.00000000
  245 |  23 |  7 | 0.00000000
  246 |   4 | 11 | 0.00000000
  247 |   7 | 10 | 0.00000000
  248 |  18 |  9 | 0.00000000
  249 |  12 |  8 | 0.00000000
  250 |  14 |  8 | 0.00000000
  251 |   6 |  8 | 0.00000000
  252 |   7 | 11 | 0.00000000
  253 |  17 | 10 | 0.00000000
  254 |  10 | 12 | 0.00000000
  255 |   0 | 11 | 0.00000000
  256 |  11 |  9 | 0.00000000
  257 |   2 |  9 | 0.00000000
  258 |  15 | 11 | 0.00000000
  259 |  22 | 13 | 0.00000000
  260 |   1 |  9 | 0.00000000
  261 |  10 | 13 | 0.00000000
  262 |  20 |  9 | 0.00000000
  263 |   9 | 11 | 0.00000000
  264 |  11 | 10 | 0.00000000
  265 |  12 |  9 | 0.00000000
  266 |  23 |  8 | 0.00000000
  267 |   4 | 12 | 0.00000000
  268 |   6 |  9 | 0.00000000
  269 |   9 | 12 | 0.00000000
  270 |  13 | 12 | 0.00000000
  271 |  15 | 12 | 0.00000000
  272 |  23 |  9 | 0.00000000
  273 |  24 | 10 | 0.00000000
  274 |   6 | 10 | 0.00000000
  275 |  14 |  9 | 0.00000000
  276 |  10 | 14 | 0.00000000
  277 |  20 | 10 | 0.00000000
  278 |   0 | 12 | 0.00000000
  279 |   2 | 10 | 0.00000000
  280 |   4 | 13 | 0.00000000
  281 |   8 |  8 | 0.00000000
  282 |  12 | 10 | 0.00000000
  283 |  18 | 10 | 0.00000000
  284 |   5 | 10 | 0.00000000
  285 |   9 | 13 | 0.00000000
  286 |  13 | 13 | 0.00000000
  287 |   9 | 14 | 0.00000000
  288 |  20 | 11 | 0.00000000
  289 |  11 | 11 | 0.00000000
  290 |  16 |  9 | 0.00000000
  291 |  17 | 11 | 0.00000000
  292 |  20 | 12 | 0.00000000
  293 |   9 | 15 | 0.00000000
  294 |  14 | 10 | 0.00000000
  295 |  15 | 13 | 0.00000000
  296 |   3 | 10 | 0.00000000
  297 |  13 | 14 | 0.00000000
  298 |  22 | 14 | 0.00000000
  299 |   8 |  9 | 0.00000000
  300 |  23 | 10 | 0.00000000
  301 |   7 | 12 | 0.00000000
  302 |  17 | 12 | 0.00000000
  303 |  19 | 14 | 0.00000000
  304 |   4 | 14 | 0.00000000
  305 |  12 | 11 | 0.00000000
  306 |  14 | 11 | 0.00000000
  307 |  21 |  6 | 0.00000000
  308 |   6 | 11 | 0.00000000
  309 |  24 | 11 | 0.00000000
  310 |   2 | 11 | 0.00000000
  311 |   7 | 13 | 0.00000000
  312 |   9 | 16 | 0.00000000
  313 |  11 | 12 | 0.00000000
  314 |   1 | 10 | 0.00000000
  315 |  23 | 11 | 0.00000000
  316 |   9 | 17 | 0.00000000
  317 |   9 | 18 | 0.00000000
  318 |  21 |  7 | 0.00000000
  319 |  12 | 12 | 0.00000000
  320 |  18 | 11 | 0.00000000
  321 |  22 | 15 | 0.00000000
  322 |  10 | 15 | 0.00000000
  323 |  20 | 13 | 0.00000000
  324 |  15 | 14 | 0.00000000
  325 |  19 | 15 | 0.00000000
  326 |  16 | 10 | 0.00000000
  327 |  18 | 12 | 0.00000000
  328 |  20 | 14 | 0.00000000
  329 |  23 | 12 | 0.00000000
  330 |   3 | 11 | 0.00000000
  331 |   5 | 11 | 0.00000000
  332 |   1 | 11 | 0.00000000
  333 |   6 | 12 | 0.00000000
  334 |  13 | 15 | 0.00000000
  335 |  24 | 12 | 0.00000000
  336 |   0 | 13 | 0.00000000
  337 |  11 | 13 | 0.00000000
  338 |  15 | 15 | 0.00000000
  339 |   4 | 15 | 0.00000000
  340 |   7 | 14 | 0.00000000
  341 |  10 | 16 | 0.00000000
  342 |   4 | 16 | 0.00000000
  343 |   6 | 13 | 0.00000000
  344 |  22 | 16 | 0.00000000
  345 |   4 | 17 | 0.00000000
  346 |   6 | 14 | 0.00000000
  347 |   2 | 12 | 0.00000000
  348 |   4 | 18 | 0.00000000
  349 |   7 | 15 | 0.00000000
  350 |  14 | 12 | 0.00000000
  351 |  21 |  8 | 0.00000000
  352 |   5 | 12 | 0.00000000
  353 |   6 | 15 | 0.00000000
  354 |   8 | 10 | 0.00000000
  355 |  23 | 13 | 0.00000000
  356 |   0 | 14 | 0.00000000
  357 |  19 | 16 | 0.00000000
  358 |  12 | 13 | 0.00000000
  359 |  13 | 16 | 0.00000000
  360 |  18 | 13 | 0.00000000
  361 |   0 | 15 | 0.00000000
  362 |   4 | 19 | 0.00000000
  363 |   7 | 16 | 0.00000000
  364 |  10 | 17 | 0.00000000
  365 |  16 | 11 | 0.00000000
  366 |   8 | 11 | 0.00000000
  367 |  14 | 13 | 0.00000000
  368 |  17 | 13 | 0.00000000
  369 |  14 | 14 | 0.00000000
  370 |   7 | 17 | 0.00000000
  371 |   8 | 12 | 0.00000000
  372 |  11 | 14 | 0.00000000
  373 |  12 | 14 | 0.00000000
  374 |  15 | 16 | 0.00000000
  375 |  19 | 17 | 0.00000000
  376 |   2 | 13 | 0.00000000
  377 |   5 | 13 | 0.00000000
  378 |  13 | 17 | 0.00000000
  379 |  21 |  9 | 0.00000000
  380 |   0 | 16 | 0.00000000
  381 |   2 | 14 | 0.00000000
  382 |  18 | 14 | 0.00000000
  383 |   5 | 14 | 0.00000000
  384 |   9 | 19 | 0.00000000
  385 |  19 | 18 | 0.00000000
  386 |   6 | 16 | 0.00000000
  387 |  10 | 18 | 0.00000000
  388 |  19 | 19 | 0.00000000
  389 |  16 | 12 | 0.00000000
  390 |   0 | 17 | 0.00000000
  391 |   2 | 15 | 0.00000000
  392 |  12 | 15 | 0.00000000
  393 |  17 | 14 | 0.00000000
  394 |  20 | 15 | 0.00000000
  395 |  21 | 10 | 0.00000000
  396 |   1 | 12 | 0.00000000
  397 |  23 | 14 | 0.00000000
  398 |  13 | 18 | 0.00000000
  399 |   3 | 12 | 0.00000000
  400 |   8 | 13 | 0.00000000
  401 |  21 | 11 | 0.00000000
  402 |   6 | 17 | 0.00000000
  403 |  10 | 19 | 0.00000000
  404 |  11 | 15 | 0.00000000
  405 |  18 | 15 | 0.00000000
  406 |  20 | 16 | 0.00000000
  407 |   5 | 15 | 0.00000000
  408 |  19 | 20 | 0.00000000
  409 |   1 | 13 | 0.00000000
  410 |   3 | 13 | 0.00000000
  411 |  14 | 15 | 0.00000000
  412 |  16 | 13 | 0.00000000
  413 |   2 | 16 | 0.00000000
  414 |   4 | 20 | 0.00000000
  415 |  13 | 19 | 0.00000000
  416 |  19 | 21 | 0.00000000
  417 |  24 | 13 | 0.00000000
  418 |   0 | 18 | 0.00000000
  419 |  11 | 16 | 0.00000000
  420 |  17 | 15 | 0.00000000
  421 |  22 | 17 | 0.00000000
  422 |   8 | 14 | 0.00000000
  423 |  23 | 15 | 0.00000000
  424 |   1 | 14 | 0.00000000
  425 |   6 | 18 | 0.00000000
  426 |   5 | 16 | 0.00000000
  427 |   9 | 20 | 0.00000000
  428 |  18 | 16 | 0.00000000
  429 |  14 | 16 | 0.00000000
  430 |  21 | 12 | 0.00000000
  431 |  12 | 16 | 0.00000000
  432 |  19 | 22 | 0.00000000
  433 |  24 | 14 | 0.00000000
  434 |   0 | 19 | 0.00000000
  435 |   7 | 18 | 0.00000000
  436 |  16 | 14 | 0.00000000
  437 |  17 | 16 | 0.00000000
  438 |   2 | 17 | 0.00000000
  439 |  23 | 16 | 0.00000000
  440 |  15 | 17 | 0.00000000
  441 |   1 | 15 | 0.00000000
  442 |   2 | 18 | 0.00000000
  443 |  14 | 17 | 0.00000000
  444 |  18 | 17 | 0.00000000
  445 |  19 | 23 | 0.00000000
  446 |  20 | 17 | 0.00000000
  447 |   4 | 21 | 0.00000000
  448 |  11 | 17 | 0.00000000
  449 |  24 | 15 | 0.00000000
  450 |  12 | 17 | 0.00000000
  451 |  13 | 20 | 0.00000000
  452 |  22 | 18 | 0.00000000
  453 |   8 | 15 | 0.00000000
  454 |  14 | 18 | 0.00000000
  455 |  24 | 16 | 0.00000000
  456 |  14 | 19 | 0.00000000
  457 |   6 | 19 | 0.00000000
  458 |  10 | 20 | 0.00000000
  459 |   5 | 17 | 0.00000000
  460 |   7 | 19 | 0.00000000
  461 |  16 | 15 | 0.00000000
  462 |  23 | 17 | 0.00000000
  463 |  17 | 17 | 0.00000000
  464 |   3 | 14 | 0.00000000
  465 |   6 | 20 | 0.00000000
  466 |  23 | 18 | 0.00000000
  467 |   1 | 16 | 0.00000000
  468 |   9 | 21 | 0.00000000
  469 |  10 | 21 | 0.00000000
